Inserting 10000000 vehicles into Elastic
Inserting 10000000 vehicles into ClickHouse
goos: darwin
goarch: arm64
pkg: github.com/KevinJoiner/vss-translator/cmd/esVSch
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=ClickHouse         	     526	   2314713 ns/op	   26782 B/op	     261 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=ClickHouse         	     501	   2226234 ns/op	   26792 B/op	     261 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=ClickHouse         	     537	   2579757 ns/op	   26785 B/op	     261 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=ClickHouse         	     524	   2291548 ns/op	   26799 B/op	     262 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=ClickHouse         	     513	   2257088 ns/op	   26790 B/op	     261 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=ClickHouse         	     546	   2432656 ns/op	   26821 B/op	     262 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=ClickHouse         	     510	   2257508 ns/op	   26774 B/op	     261 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=ClickHouse         	     518	   2298638 ns/op	   26796 B/op	     262 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=Elastic            	       1	4123496584 ns/op	  841760 B/op	   10092 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=Elastic            	     522	   2000134 ns/op	   17926 B/op	     263 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=Elastic            	     571	   2393739 ns/op	   17926 B/op	     263 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=Elastic            	     664	   1576813 ns/op	   17922 B/op	     263 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=Elastic            	     890	   1384426 ns/op	   17921 B/op	     263 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=Elastic            	     620	   1781857 ns/op	   17924 B/op	     263 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=Elastic            	     831	   1279679 ns/op	   17921 B/op	     263 allocs/op
BenchmarkClickHouseVsElasstic/SelectMaxSpeedBySubjectInTimeRange/DB=Elastic            	     997	   1059226 ns/op	   17921 B/op	     263 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=ClickHouse                       	      72	  16544561 ns/op	  216660 B/op	    2750 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=ClickHouse                       	      79	  16940123 ns/op	  217047 B/op	    2751 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=ClickHouse                       	      73	  17069098 ns/op	  216732 B/op	    2750 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=ClickHouse                       	      68	  16663028 ns/op	  216525 B/op	    2750 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=ClickHouse                       	      72	  16925626 ns/op	  216566 B/op	    2750 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=ClickHouse                       	      74	  16971600 ns/op	  216802 B/op	    2750 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=ClickHouse                       	      70	  16366662 ns/op	  217058 B/op	    2750 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=ClickHouse                       	      68	  16633912 ns/op	  216719 B/op	    2750 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=Elastic                          	     160	   6353089 ns/op	 1333206 B/op	    6446 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=Elastic                          	     237	   7245201 ns/op	 1333230 B/op	    6446 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=Elastic                          	     174	   9464144 ns/op	 1333254 B/op	    6446 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=Elastic                          	     248	   7740310 ns/op	 1333231 B/op	    6446 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=Elastic                          	     196	   9068387 ns/op	 1333284 B/op	    6446 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=Elastic                          	     222	   7001958 ns/op	 1333233 B/op	    6446 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=Elastic                          	     140	   8762701 ns/op	 1333262 B/op	    6446 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny100Vehicles/DB=Elastic                          	     158	   9370170 ns/op	 1333204 B/op	    6446 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=ClickHouse                   	      79	  13865805 ns/op	  222409 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=ClickHouse                   	      82	  15962043 ns/op	  222289 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=ClickHouse                   	      86	  13544912 ns/op	  222325 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=ClickHouse                   	      88	  13576968 ns/op	  222260 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=ClickHouse                   	      78	  14205941 ns/op	  222457 B/op	    2768 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=ClickHouse                   	      75	  13775195 ns/op	  222417 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=ClickHouse                   	      87	  13918858 ns/op	  222392 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=ClickHouse                   	      84	  14019371 ns/op	  222352 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=Elastic                      	     153	   7995591 ns/op	 1335115 B/op	    6455 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=Elastic                      	     138	  10179826 ns/op	 1335180 B/op	    6455 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=Elastic                      	      96	  10742793 ns/op	 1335147 B/op	    6455 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=Elastic                      	     154	  11012712 ns/op	 1335114 B/op	    6455 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=Elastic                      	     177	  10307936 ns/op	 1335153 B/op	    6455 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=Elastic                      	     100	  10901606 ns/op	 1335064 B/op	    6455 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=Elastic                      	     100	  10972505 ns/op	 1335144 B/op	    6455 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject100Vehicles/DB=Elastic                      	     176	  10608546 ns/op	 1335059 B/op	    6455 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=ClickHouse        	     110	  10763089 ns/op	  223112 B/op	    2768 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=ClickHouse        	     100	  10365783 ns/op	  222982 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=ClickHouse        	     100	  10419918 ns/op	  223042 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=ClickHouse        	      97	  10654281 ns/op	  223012 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=ClickHouse        	     100	  10490498 ns/op	  222993 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=ClickHouse        	     100	  10456885 ns/op	  222975 B/op	    2767 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=ClickHouse        	     100	  10532982 ns/op	  222965 B/op	    2767 allocs/op
